Comparison,Assay,OLINK.ID,Protein.ID,Uniprot.ID,logFC,CI.L,CI.R,AveExpr,P.Value,adj.P.Val
Control_v_Critical,Inflammation,OID00503,TGF-alpha,P01135,1.50,1.20,1.80,3.34,0.00,0.00
Control_v_Case,Cardiovascular,OID00464,CA5A,P35218,2.89,2.21,3.57,3.30,0.00,0.00
Control_v_Case,Immune,OID00963,TRAF2,Q12933,-1.43,-1.77,-1.10,2.26,0.00,0.00
Control_v_Case,Cardiovascular,OID00402,IL-27,"Q8NEV9,Q14213",1.34,1.02,1.66,6.29,0.00,0.00
Control_v_Case,Inflammation,OID00521,TRANCE,O14788,-2.14,-2.66,-1.63,3.99,0.00,0.00
Control_v_Case,Inflammation,OID00555,TWEAK,O43508,-1.27,-1.57,-0.96,8.63,0.00,0.00
Control_v_Case,Immune,OID00987,HEXIM1,O94992,-2.77,-3.44,-2.11,6.02,0.00,0.00
Control_v_Mild,Cardiovascular,OID00424,DECR1,Q16698,-4.43,-5.37,-3.48,5.66,0.00,0.00
Control_v_Mild,Cardiovascular,OID00395,PAR-1,P25116,-1.42,-1.73,-1.12,9.18,0.00,0.00
Control_v_Critical,Inflammation,OID00538,SIRT2,Q8IXJ6,-3.93,-4.75,-3.11,6.71,0.00,0.00
Control_v_Critical,Immune,OID01022,KPNA1,P52294,-1.49,-1.80,-1.18,0.61,0.00,0.00
Control_v_Mild,Immune,OID00990,MGMT,P16455,-4.20,-5.09,-3.30,5.45,0.00,0.00
Control_v_Mild,Immune,OID01023,LAG3,P18627,1.37,1.08,1.66,2.70,0.00,0.00
Control_v_Critical,Immune,OID00942,HCLS1,P14317,-2.62,-3.16,-2.07,6.88,0.00,0.00
Control_v_Case,Neurology,OID00324,gal-8,O00214,-1.76,-2.19,-1.33,6.94,0.00,0.00
Control_v_Critical,Cardiovascular,OID00392,STK4,Q13043,-3.43,-4.16,-2.71,4.79,0.00,0.00
Control_v_Critical,Immune,OID00999,STC1,P52823,1.65,1.30,1.99,6.37,0.00,0.00
Control_v_Critical,Neurology,OID00296,EZR,P15311,1.41,1.11,1.71,4.35,0.00,0.00
Control_v_Case,Inflammation,OID00520,CXCL5,P42830,-2.63,-3.28,-1.98,11.22,0.00,0.00
Control_v_Critical,Neurology,OID00306,PLXNB3,Q9ULL4,-1.82,-2.21,-1.42,4.80,0.00,0.00
Control_v_Case,Neurology,OID00296,EZR,P15311,1.17,0.88,1.47,4.18,0.00,0.00
Control_v_Case,Cardiovascular,OID00441,MMP7,P09237,1.50,1.13,1.88,9.26,0.00,0.00
Mild_v_Critical,Inflammation,OID00541,EN-RAGE,P80511,2.84,2.26,3.43,3.80,0.00,0.00
Mild_v_Critical,Immune,OID00985,CKAP4,Q07065,1.60,1.27,1.92,5.77,0.00,0.00
Control_v_Critical,Cardiovascular,OID00412,RAGE,Q15109,2.32,1.81,2.83,13.65,0.00,0.00
Control_v_Mild,Inflammation,OID00558,STAMBP,O95630,-3.77,-4.62,-2.91,6.35,0.00,0.00
Control_v_Case,Immune,OID00952,PRDX1,Q06830,-2.37,-2.97,-1.77,3.32,0.00,0.00
Control_v_Case,Cardiovascular,OID00386,BOC,Q9BWV1,-1.23,-1.55,-0.92,3.40,0.00,0.00
Control_v_Critical,Cardiovascular,OID00459,CTSL1,P07711,2.09,1.63,2.56,8.26,0.00,0.00
Control_v_Critical,Cardiovascular,OID00406,Gal-9,O00182,1.60,1.24,1.96,8.60,0.00,0.00
Control_v_Mild,Cardiovascular,OID00445,Dkk-1,O94907,-2.23,-2.74,-1.72,9.00,0.00,0.00
Control_v_Case,Immune,OID01017,CLEC6A,Q6EIG7,1.60,1.19,2.01,2.51,0.00,0.00
Control_v_Case,Inflammation,OID00541,EN-RAGE,P80511,2.37,1.76,2.98,3.46,0.00,0.00
Control_v_Mild,Immune,OID00989,PRKCQ,Q04759,-1.21,-1.49,-0.93,1.38,0.00,0.00
Control_v_Case,Inflammation,OID00503,TGF-alpha,P01135,1.27,0.94,1.60,3.22,0.00,0.00
Control_v_Critical,Neurology,OID00324,gal-8,O00214,-1.90,-2.33,-1.47,7.69,0.00,0.00
Control_v_Case,Neurology,OID00338,NTRK2,Q16620,-0.96,-1.20,-0.71,6.18,0.00,0.00
Control_v_Mild,Inflammation,OID00550,CASP-8,Q14790,-3.54,-4.36,-2.72,4.76,0.00,0.00
Control_v_Critical,Inflammation,OID05547,IFN-gamma,P01579,5.37,4.15,6.60,8.55,0.00,0.00
Control_v_Critical,Neurology,OID00320,MATN3,O15232,1.90,1.47,2.34,9.74,0.00,0.00
Control_v_Mild,Cardiovascular,OID00443,ITGB1BP2,Q9UKP3,-5.09,-6.28,-3.90,5.42,0.00,0.00
Control_v_Critical,Inflammation,OID00474,MCP-3,P80098,4.22,3.25,5.18,3.82,0.00,0.00
Control_v_Case,Cardiovascular,OID00425,MERTK,Q12866,0.86,0.64,1.09,6.65,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00390,IL6,P05231,4.48,3.51,5.45,5.60,0.00,0.00
Control_v_Case,Inflammation,OID05548,TNF,P01375,1.33,0.98,1.67,3.29,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00396,TRAIL-R2,O14763,2.01,1.57,2.44,6.91,0.00,0.00
Control_v_Critical,Immune,OID00954,FGF2,P09038,-3.21,-3.96,-2.46,2.28,0.00,0.00
Control_v_Critical,Cardiovascular,OID00390,IL6,P05231,4.79,3.67,5.92,5.53,0.00,0.00
Control_v_Critical,Inflammation,OID00482,IL6,P05231,4.49,3.43,5.55,4.71,0.00,0.00
Control_v_Severe,Immune,OID01011,DAPP1,Q9UN19,-8.42,-10.04,-6.81,7.37,0.00,0.00
Mild_v_Critical,Immune,OID00967,KRT19,P08727,3.44,2.68,4.19,3.82,0.00,0.00
Control_v_Case,Inflammation,OID00524,IL-24,Q13007,0.99,0.73,1.26,1.24,0.00,0.00
Control_v_Case,Immune,OID01009,AREG,P15514,2.36,1.73,2.99,4.17,0.00,0.00
Control_v_Case,Cardiovascular,OID00391,TNFRSF10A,O00220,1.53,1.12,1.94,3.35,0.00,0.00
Control_v_Mild,Immune,OID01020,TANK,Q92844,-2.60,-3.22,-1.97,2.47,0.00,0.00
Control_v_Critical,Immune,OID00947,IL6,P05231,4.23,3.22,5.24,4.51,0.00,0.00
Control_v_Case,Neurology,OID00320,MATN3,O15232,1.66,1.21,2.10,9.52,0.00,0.00
Control_v_Case,Inflammation,OID00552,CX3CL1,P78423,1.07,0.78,1.37,4.36,0.00,0.00
Control_v_Mild,Neurology,OID00323,LXN,Q9BS40,-1.13,-1.40,-0.85,2.25,0.00,0.00
Control_v_Critical,Cardiovascular,OID00437,PTX3,P26022,2.07,1.57,2.58,4.64,0.00,0.00
Control_v_Case,Cardiovascular,OID00382,CD40-L,P29965,-3.12,-3.99,-2.26,5.25,0.00,0.00
Control_v_Severe,Immune,OID00936,PPP1R9B,Q96SB3,-6.67,-8.03,-5.31,5.38,0.00,0.00
Control_v_Critical,Inflammation,OID00550,CASP-8,Q14790,-1.85,-2.31,-1.39,5.50,0.00,0.00
Control_v_Case,Immune,OID00982,PLXNA4,Q9HCM2,-2.38,-3.03,-1.72,4.31,0.00,0.00
Control_v_Critical,Immune,OID00990,MGMT,P16455,-3.82,-4.76,-2.87,5.95,0.00,0.00
Control_v_Critical,Neurology,OID00300,SCARB2,Q14108,1.70,1.28,2.12,5.11,0.00,0.00
Control_v_Case,Neurology,OID00374,MANF,P55145,-1.63,-2.09,-1.17,7.78,0.00,0.00
Control_v_Critical,Neurology,OID00340,G-CSF,P09919,2.70,2.01,3.38,3.52,0.00,0.00
Control_v_Critical,Cardiovascular,OID00425,MERTK,Q12866,1.10,0.82,1.38,6.70,0.00,0.00
Mild_v_Critical,Inflammation,OID00506,TNFSF14,O43557,1.85,1.41,2.30,5.20,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00406,Gal-9,O00182,0.80,0.61,0.99,8.70,0.00,0.00
Control_v_Case,Immune,OID01004,DFFA,O00273,-1.79,-2.30,-1.28,5.50,0.00,0.00
Control_v_Mild,Inflammation,OID00534,CXCL6,P80162,-3.10,-3.90,-2.30,8.93,0.00,0.00
Control_v_Critical,Immune,OID00994,SRPK2,P78362,-3.62,-4.55,-2.69,3.74,0.00,0.00
Control_v_Case,Cardiovascular,OID00449,HB-EGF,Q99075,-2.09,-2.69,-1.49,6.53,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00389,IL-1ra,P18510,1.86,1.41,2.32,6.41,0.00,0.00
Control_v_Case,Immune,OID00957,TRIM5,Q9C035,-1.50,-1.94,-1.07,2.61,0.00,0.00
Control_v_Case,Neurology,OID00348,CPM,P14384,-0.77,-0.99,-0.55,6.51,0.00,0.00
Control_v_Critical,Immune,OID01023,LAG3,P18627,1.61,1.20,2.03,2.91,0.00,0.00
Mild_v_Critical,Inflammation,OID00500,SCF,P21583,-1.43,-1.78,-1.08,8.68,0.00,0.00
Control_v_Critical,Immune,OID00967,KRT19,P08727,3.25,2.40,4.10,3.85,0.00,0.00
Control_v_Critical,Neurology,OID00309,SMPD1,P17405,1.14,0.84,1.43,4.80,0.00,0.00
Control_v_Critical,Neurology,OID00357,CDH6,P55285,-0.92,-1.17,-0.68,4.36,0.00,0.00
Control_v_Case,Neurology,OID00360,CTSS,P25774,0.73,0.52,0.95,5.82,0.00,0.00
Mild_v_Severe,Inflammation,OID00541,EN-RAGE,P80511,2.16,1.73,2.59,2.93,0.00,0.00
Control_v_Critical,Cardiovascular,OID00424,DECR1,Q16698,-3.49,-4.42,-2.57,6.29,0.00,0.00
Control_v_Mild,Immune,OID00963,TRAF2,Q12933,-1.90,-2.40,-1.39,2.48,0.00,0.00
Control_v_Critical,Immune,OID00987,HEXIM1,O94992,-2.48,-3.14,-1.82,7.21,0.00,0.00
Control_v_Critical,Immune,OID01015,LAMP3,Q9UQV4,2.03,1.49,2.57,5.08,0.00,0.00
Mild_v_Critical,Immune,OID01009,AREG,P15514,2.40,1.80,3.00,4.47,0.00,0.00
Control_v_Case,Neurology,OID00372,NTRK3,Q16288,-0.86,-1.12,-0.61,7.13,0.00,0.00
Control_v_Critical,Immune,OID00983,SH2B3,Q9UQQ2,-4.28,-5.43,-3.14,4.98,0.00,0.00
Control_v_Case,Neurology,OID00307,CPA2,P48052,-1.77,-2.30,-1.25,9.68,0.00,0.00
Control_v_Case,Neurology,OID00303,ROBO2,Q9HCK4,-1.24,-1.61,-0.87,5.24,0.00,0.00
Control_v_Case,Cardiovascular,OID00396,TRAIL-R2,O14763,1.35,0.95,1.76,6.67,0.00,0.00
Control_v_Case,Neurology,OID00305,RGMA,Q96B86,-0.88,-1.14,-0.62,10.66,0.00,0.00
Control_v_Case,Neurology,OID00317,ADAM 22,Q9P0K1,-0.96,-1.24,-0.67,4.16,0.00,0.00
Control_v_Case,Neurology,OID00342,SCARF2,Q96GP6,-0.96,-1.25,-0.67,6.03,0.00,0.00
Control_v_Case,Immune,OID01019,IL12RB1,P42701,0.93,0.65,1.22,2.52,0.00,0.00
Control_v_Case,Cardiovascular,OID00381,ADM,P35318,1.14,0.79,1.48,8.63,0.00,0.00
Control_v_Case,Neurology,OID00359,JAM-B,P57087,-0.81,-1.05,-0.56,7.80,0.00,0.00
Control_v_Case,Neurology,OID00343,GDNFR-alpha-3,O60609,-1.02,-1.33,-0.71,4.74,0.00,0.00
Control_v_Severe,Cardiovascular,OID00395,PAR-1,P25116,-3.34,-4.10,-2.58,9.52,0.00,0.00
Mild_v_Critical,Inflammation,OID00503,TGF-alpha,P01135,1.24,0.92,1.57,3.51,0.00,0.00
Mild_v_Critical,Neurology,OID00344,PVR,P15151,0.72,0.53,0.91,8.59,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00391,TNFRSF10A,O00220,1.46,1.08,1.84,3.53,0.00,0.00
Control_v_Case,Cardiovascular,OID00416,SPON2,Q9BUD6,0.48,0.33,0.62,8.43,0.00,0.00
Control_v_Mild,Neurology,OID00306,PLXNB3,Q9ULL4,-1.86,-2.38,-1.34,4.74,0.00,0.00
Control_v_Critical,Cardiovascular,OID00388,SRC,P12931,-2.32,-2.97,-1.67,6.76,0.00,0.00
Control_v_Critical,Inflammation,OID00562,CSF-1,P09603,0.72,0.52,0.93,10.43,0.00,0.00
Control_v_Case,Inflammation,OID00511,LIF-R,P42702,0.65,0.45,0.85,4.28,0.00,0.00
Control_v_Case,Inflammation,OID00513,CCL19,Q99731,1.95,1.34,2.56,10.04,0.00,0.00
Control_v_Case,Inflammation,OID00534,CXCL6,P80162,-2.02,-2.65,-1.39,8.76,0.00,0.00
Control_v_Critical,Immune,OID00985,CKAP4,Q07065,1.98,1.41,2.54,5.68,0.00,0.00
